pct_carrier_delay;pct_atc_delay;pct_weather_delay;airline
815.322.580.645.161;197.177.419.354.839;0.762096774193548;American
595.992.366.412.214;370.610.687.022.901;158.587.786.259.542;American
715.727.002.967.359;270.623.145.400.593;202.670.623.145.401;American
12.1;110.333.333.333.333;0;American
733.333.333.333.333;336.559.139.784.946;17.741.935.483.871;American
616.388.888.888.889;3.225;0.975;American
774.416.135.881.104;106.422.505.307.856;146.072.186.836.518;American
907.017.543.859.649;807.894.736.842.105;0.728070175438597;American
104.065.934.065.934;816.483.516.483.516;0.838827838827839;American
976.978.417.266.187;597.122.302.158.273;0.712230215827338;American
8.5;152.954.545.454.545;231.818.181.818.182;American
658.709.677.419.355;304.516.129.032.258;0.303225806451613;American
894.736.842.105.263;42.280.701.754.386;156.140.350.877.193;American
810.966.981.132.075;553.301.886.792.453;125.471.698.113.208;American
677.229.601.518.027;323.908.918.406.072;0.552182163187856;American
334.826.556.397.886;473.060.724.404.625;0.678076422390688;American
781.159.420.289.855;295.652.173.913.043;0;American
144.472.361.809.045;394.472.361.809.045;12.713.567.839.196;American
734.671.532.846.715;241.240.875.912.409;158.759.124.087.591;American
456.884.875.846.501;117.516.930.022.573;0.516930022573363;American
533.870.967.741.935;645.161.290.322.581;0.790322580645161;American
116.881.720.430.108;661.290.322.580.645;205.376.344.086.022;American
214.193.548.387.097;470.967.741.935.484;141.935.483.870.968;American
124.029.850.746.269;307.462.686.567.164;188.059.701.492.537;American
137.603.686.635.945;451.152.073.732.719;0.460829493087558;American
875.862.068.965.517;310.344.827.586.207;0.517241379310345;American
642.817.679.558.011;761.878.453.038.674;0.074585635359116;American
623.355.263.157.895;405.921.052.631.579;0.177631578947368;American
132.521.008.403.361;165.546.218.487.395;0.327731092436975;American
116.558.441.558.442;69.025.974.025.974;0.571428571428571;American
147.241.379.310.345;825.862.068.965.517;325.862.068.965.517;American
577.118.644.067.797;273.728.813.559.322;0.957627118644068;American
649.746.707.193.516;730.091.185.410.334;0.0911854103343465;American
841.935.483.870.968;494.516.129.032.258;0;American
641.654.135.338.346;698.345.864.661.654;111.729.323.308.271;American
612.468.513.853.904;629.974.811.083.123;0.769941225860621;American
572.060.957.910.015;761.030.478.955.007;0.765602322206096;American
893.548.387.096.774;295.161.290.322.581;0;American
61.949.860.724.234;345.961.002.785.515;0.88857938718663;American
110.336.021.505.376;419.758.064.516.129;121.639.784.946.237;American
666.666.666.666.667;322.916.666.666.667;0.263888888888889;American
766.949.152.542.373;190.677.966.101.695;152.542.372.881.356;American
731.593.331.511.342;691.637.059.305.821;108.226.291.336.431;American
58.961.625.282.167;293.679.458.239.278;163.205.417.607.223;American
10.624.633.431.085;491.495.601.173.021;0.824046920821114;American
866.666.666.666.667;1.6;3;American
121.612.903.225.806;279.139.784.946.237;0.78494623655914;American
772.350.230.414.747;213.364.055.299.539;0.179723502304147;American
6.82;390.666.666.666.667;0.646666666666667;American
109.354.838.709.677;866.129.032.258.065;0.225806451612903;American
326.102.646.351.243;684.182.036.888.533;0.539294306335204;American
12;519.298.245.614.035;0.842105263157895;American
100.645.161.290.323;53.741.935.483.871;0.929032258064516;American
150.645.161.290.323;350.806.451.612.903;204.838.709.677.419;American
952.955.082.742.317;707.801.418.439.716;176.595.744.680.851;American
662.348.178.137.652;386.032.388.663.968;173.886.639.676.113;American
118.064.516.129.032;504.838.709.677.419;0.903225806451613;American
618.604.651.162.791;256.589.147.286.822;141.085.271.317.829;American
100.090.909.090.909;493.333.333.333.333;115.757.575.757.576;American
104.431.818.181.818;486.363.636.363.636;0.784090909090909;American
