outcome;payment_inc_ratio;dti
target;9.0;22.5
default;546.933;21.33
paid off;690.294;8.97
paid off;11.148;1.83
default;37.212;10.81
paid off;189.923;11.34
default;278.485;16.0
paid off;138.562;11.24
default;116.848;27.78
default;943.396;24.15
paid off;162.408;7.66
default;51.505;23.81
paid off;107.316;11.46
paid off;548.028;3.05
paid off;91.232;16.21
default;887.467;28.06
paid off;835.831;7.15
default;184.205;27.65
default;672.874;16.3
paid off;592.267;18.11
paid off;334.661;12.16
default;691.886;22.47
paid off;132.091;12.0
paid off;125.258;23.19
paid off;502.149;18.93
paid off;743.493;15.8
default;143.348;33.17
paid off;340.145;8.49
default;195.196;19.42
default;164.191;26.08
default;712.971;12.17
paid off;118.603;22.54
paid off;7.311;19.13
paid off;384.084;9.36
paid off;903.384;12.87
default;865.527;22.23
paid off;971.055;26.6
default;293.926;19.44
default;145.423;9.5
paid off;427.237;12.22
default;59.154;5.99
paid off;81.632;19.14
paid off;480.972;16.68
paid off;342.216;10.78
default;149.472;23.79
default;541.869;26.21
paid off;562.357;22.35
paid off;54.288;4.23
default;61.496;26.16
paid off;42.652;27.36
default;118.438;25.89
paid off;702.535;16.7
paid off;206.973;10.92
paid off;249.545;2.4
default;11.127;11.36
paid off;115.225;21.45
paid off;441.246;12.73
default;134.988;27.16
default;115.629;19.36
default;118.498;6.71
default;538.409;6.8
default;131.508;15.62
default;146.718;21.82
default;125.148;4.87
default;108.558;6.8
default;120.252;13.94
paid off;952.255;19.66
paid off;135.606;5.56
default;133.276;13.87
default;121.789;25.06
paid off;426.278;28.29
default;783.832;27.75
paid off;596.351;18.62
paid off;507.267;5.95
paid off;119.274;17.64
default;386.227;22.91
paid off;439.094;2.86
paid off;77.016;24.57
default;123.538;22.22
default;131.824;14.27
paid off;393.975;28.95
paid off;577.245;18.61
default;123.112;15.47
paid off;86.083;16.17
paid off;46.424;17.36
default;870.942;24.13
default;177.202;17.26
default;147.484;7.12
default;56.208;15.53
default;141.741;24.51
paid off;5.126;14.02
default;618.611;14.76
paid off;537.529;19.99
paid off;970.037;15.06
default;126.708;7.32
paid off;141.607;14.47
paid off;191.916;16.15
paid off;418.882;2.31
default;791.886;4.46
default;749.647;29.05
default;404.563;16.6
paid off;139.744;23.0
default;36.742;10.52
paid off;101.678;14.53
default;644.328;19.55
default;811.139;8.03
paid off;508.957;10.93
paid off;99.924;11.61
paid off;382.189;17.32
default;384.667;19.9
paid off;47.604;25.95
default;126.369;23.16
default;582.492;22.0
paid off;0.693496;16.3
paid off;757.675;11.1
default;703.965;18.62
default;752.902;11.55
default;517.392;11.36
paid off;514.633;20.87
paid off;702.212;9.54
paid off;545.904;9.69
paid off;110.438;6.64
paid off;461.967;4.1
paid off;26.284;5.26
default;108.607;17.26
default;110.427;19.55
paid off;118.318;27.32
default;560.174;15.65
default;788.815;3.35
default;4.55;24.68
paid off;677.783;16.87
paid off;495.549;24.73
paid off;107.842;17.57
default;18.507;15.84
default;48.645;16.43
default;379.029;22.67
paid off;826.964;13.65
paid off;329.013;24.39
paid off;11.879;18.65
default;100.245;19.11
default;100.963;15.86
paid off;864.978;19.78
paid off;462.138;5.58
paid off;359.664;16.51
paid off;388.236;8.84
paid off;240.163;23.04
paid off;133.309;13.97
default;160.055;18.68
paid off;386.336;14.24
default;13.523;27.35
paid off;170.106;11.58
default;36.144;20.34
paid off;280.455;10.11
default;81.658;18.68
paid off;100.964;6.07
paid off;430.392;14.06
paid off;604.385;19.98
default;124.232;13.05
default;153.104;14.4
paid off;165.527;12.91
paid off;773.733;11.32
paid off;101.889;25.47
default;833.074;16.39
paid off;790.032;19.71
default;636.447;12.29
paid off;843.016;18.01
default;736.731;7.8
default;101.241;16.67
default;134.938;25.78
default;802.887;20.86
default;230.232;13.97
default;11.093;15.35
paid off;203.592;16.58
paid off;336.652;22.7
default;127.615;18.82
default;130.808;29.67
default;561.568;4.16
paid off;104.625;12.73
default;112.068;12.66
paid off;500.386;5.97
paid off;111.079;15.33
paid off;944.925;23.3
default;905.778;21.62
paid off;147.615;11.24
default;111.024;28.05
paid off;418.306;14.82
paid off;10.308;12.27
paid off;125.613;6.12
paid off;65.706;7.35
default;689.672;11.57
default;163.139;12.0
default;437.455;15.67
paid off;10.683;13.09
default;893.428;18.09
paid off;711.182;14.91
default;218.575;31.05
default;11.663;26.09
default;297.641;16.41
default;196.846;19.98
paid off;9.642;20.17
paid off;703.924;13.88
