;outcome;purpose_;dti;borrower_score;payment_inc_ratio
32109;paid off;debt_consolidation;21.23;0.4;511.135
16982;default;credit_card;15.49;0.4;543.165
25335;paid off;debt_consolidation;27.3;0.7;923.003
34580;paid off;major_purchase;21.11;0.4;233.482
14424;default;debt_consolidation;16.46;0.45;121.032
35621;paid off;debt_consolidation;12.12;0.5;389.391
9920;default;debt_consolidation;29.79;0.4;70.039
42095;paid off;debt_consolidation;7.94;0.4;100.407
25219;paid off;debt_consolidation;10.81;0.55;354.972
26196;paid off;debt_consolidation;16.37;0.45;750.984
19798;default;other;11.42;0.4;182.061
35333;paid off;debt_consolidation;7.22;0.6;111.794
33036;paid off;debt_consolidation;12.95;0.45;316.523
6729;default;credit_card;14.79;0.5;242.371
40734;paid off;home_improvement;16.75;0.75;3.904
33148;paid off;debt_consolidation;25.71;0.75;910.638
6707;default;debt_consolidation;22.37;0.3;8.25
44331;paid off;debt_consolidation;17.73;0.65;708.316
29681;paid off;debt_consolidation;21.78;0.45;894.878
9141;default;credit_card;8.18;0.7;839.775
18112;default;home_improvement;11.52;0.6;114.713
18492;default;debt_consolidation;21.7;0.45;932.833
38079;paid off;other;18.67;0.6;240.435
22712;default;debt_consolidation;33.32;0.25;155.251
9911;default;home_improvement;23.37;0.45;909.314
5042;default;debt_consolidation;21.63;0.55;102.228
5968;default;debt_consolidation;25;0.35;12.835
4550;default;home_improvement;16.57;0.4;382.205
30075;paid off;debt_consolidation;18.62;0.55;107.362
42738;paid off;debt_consolidation;14.25;0.4;82.005
17209;default;credit_card;25.74;0.55;138.554
17292;default;debt_consolidation;21.16;0.4;104.125
6062;default;other;10;0.5;359.956
457;default;small_business;14.19;0.6;682.133
1461;default;other;15.4;0.45;822.563
7195;default;debt_consolidation;13.76;0.5;988.155
42207;paid off;credit_card;14.76;0.65;284.045
953;default;debt_consolidation;18.62;0.5;703.965
11388;default;credit_card;6.82;0.4;106.259
14956;default;credit_card;13.74;0.65;515.085
34666;paid off;debt_consolidation;8.52;0.45;101.452
35707;paid off;debt_consolidation;10.91;0.55;815.486
17656;default;debt_consolidation;15.42;0.3;103.016
14227;default;debt_consolidation;20.62;0.45;45.407
41294;paid off;debt_consolidation;12.74;0.3;583.543
30323;paid off;home_improvement;7.41;0.55;545.952
39802;paid off;debt_consolidation;4.8;0.2;508.357
27950;paid off;other;11.47;0.25;394.074
38596;paid off;debt_consolidation;10.43;0.8;346.604
22035;default;home_improvement;13.38;0.45;850.271
17634;default;other;19.35;0.3;298.882
3441;default;other;10.1;0.4;669.395
4647;default;other;20.37;0.35;337.517
1263;default;debt_consolidation;16.94;0.35;667.834
37283;paid off;small_business;4.9;0.55;254.547
20048;default;debt_consolidation;12.71;0.5;519.924
31673;paid off;home_improvement;0.62;0.65;412.045
31412;paid off;small_business;13.15;0.55;572.613
37980;paid off;credit_card;14.92;0.45;50.533
3629;default;debt_consolidation;22.71;0.45;7.848
582;default;debt_consolidation;12.9;0.45;426.716
44344;paid off;debt_consolidation;4;0.65;30.785
21662;default;debt_consolidation;32.4;0.6;112.352
27179;paid off;debt_consolidation;12.78;0.5;37.549
